官方,294
宙斯,72
实力,828
小兵,70
小小,648
小胖,43
就是,32542
居然,1746
崩了,264
带球,81
带盾,38
干死,46
广告,1125
当年,612
情商,75
我们,13987
战队,179
所有,511
扎实,191
打爆,123
打野,1083
抗压,42
搞笑,296
支持,71
改名,6527
无聊,1078
早就,363
星辰,681
暴走,207
更新,811
替补,201
李逵,3087
杠精,388
果断,79
梅西,42
模式,247
比惨,50
毕竟,927
水刀,70
沉了,1080
沟通,155
活动,836
海涛,51
液体,1800
渣男,11407
滚滚,410
爱国,81
物理,345
现场,130
理解,533
田姐,56
甲鱼,84
电竞,76
皮孩,99
竟然,164
笛子,99
签证,91
精彩,155
细节,94
经常,228
经验,235
继承,141
翻译,400
聊天,150
胖爹,237
能偷,308
能赢,603
英文,73
英语,271
茶队,2254
菠菜,247
蛇皮,148
被喷,74
被抓,39
讨论,93
躺着,216
过年,3827
运动,146
还是,16614
退帮,143
选手,648
针对,34
闭嘴,685
队伍,339
队标,31
领先,338
马切,281
鬼皇,122
魔棒,154
鲁迅,47
鳖星,29
41c,136
498,44
5分钟,46
5号位,39
820,42
AME,53
CTY,42
DNF,1826
HGT,60
KKY,41
LGD,668
ORI,93
ace,114
cty,72
dnf,986
hgt,137
kky,182
lgd,839
lol,248
nmb,141
ori,558
一点点,49
一直爽,135
中国队,1600
主舞台,135
会不会,647
俱乐部,40
傻豆：,56
其他人,76
又来了,814
可以偷,51
听不懂,150
咚咚咚,66
在干嘛,195
塞垃圾,29
外国队,216
太菜了,209
奇迹哥,2869
对不起,1153
小乌贼,82
就好了,1351
就对了,193
就是菜,138
带不动,105
干什么,194
开了呀,213
徐志雷,114
打一架,232
打不动,41
打得好,35
打比赛,245
拒绝鱼,47
挺好的,102
无敌斩,31
明明是,97
有意思,890
服务器,3443
死灵龙,136
皮鞋：,83
看瞎子,544
看视频,96
真的很,217
第一把,101
结束了,113
老干爹,50
老毒物,41
能偷吗,71
节奏狗,509
英雄勺,68
败者组,106
贪吃蛇,32
赛丽亚,1978
赛利亚,2359
赛垃圾,41
赢不了,51
超级兵,105
过分了,1074
这个队,189
这翻译,118
这阵容,359
连击刀,44
逮虾户,2362
马桶哥,762
+0.1,287
-0.1,205
0.20,32
1024,24
195倍,54
2468,60
2469,63
400万,48
95版本,77
FIVE,155
Fgnb,800
LUNA,60
ROTK,488
Rotk,42
fade,159
kale,156
lei了,1007
rotk,958
solo,215
ti冠军,130
三星兽王,43
三星剑圣,137
三星潮汐,57
下棋下棋,158
不要滚滚,68
了解一下,658
傻豆牛逼,62
出来挨打,1096
刀刀烈火,67
别划了呀,117
别说了，,310
前方高能,231
又开始了,51
可以打断,58
天才少年,119
废物皮鞋,257
怎么这么,694
拉比克偷,75
有球必硬,40
本来就是,258
杠上开花,37
海洋哥哥,103
火箭催款,79
翻了翻了,44
茶队没了,62
菜鸡互啄,175
这个剑圣,57
这个阵容,37
那个女人,158
都打不过,299
DOTA2,290
WINGS,129
aster,27
carry,57
ehome,830
major,122
maybe,86
naive,98
nsnmn,169
pango,96
wings,1393
yang神,159
三星老剑圣,42
可以下棋了,29
峰哥峰哥，,309
恭喜这个逼,29
服务器好了,103
牛肉星冰乐,34
背靠世界树,64
这恶魔霸气,70
five皮鞋,36
liquid,179
shadow,1120
斧王保护协会,115
恭喜wings,133
粉丝团每日福利,60485
jibayang,91
掉的舒服,155
四爷,783
爱你么么哒,269
吓死我了！谢谢你们,358
  ,63200
一张,560
一点,445
一起,1575
三国,119
不要,20952
人才,379
今年,488
公爵,437
几率,1907
刷图,495
卷子,1645
又是,160
右槽,152
商人,1625
圣耀,613
圣药,89
增幅,19178
太刀,11977
失败,2965
奶妈,4646
好吗,198
好的,584
妈的,73
宝宝,6842
宠物,1768
密码,928
对抗,94
小号,1671
巨剑,1045
带哥,86
弘毅,454
弹药,1717
归零,1116
微信,128
快跑,672
怕是,45
我也,2859
我想,2097
捂脸,448
换个,1263
有人,1180
有钱,1218
毁号,552
每天,891
狗拖,326
猝死,247
看见,2324
矛盾,740
知道,2584
碰瓷,150
磕头,1228
稳住,1009
等下,327
等会,206
等着,1092
红包,1382
红颜,640
绝杀,404
翡翠,189
老汉,108
老马,1512
脱坑,631
腾讯,1268
茜茜,467
跨界,191
还没,3262
这是,913
都是,6668
都没,5002
金币,1443
金鹏,598
钻石,562
铂金,129
锻造,495
附魔,440
霸体,239
音乐,1084
鬼泣,13226
麻烦,201
黄金,1199
黑商,1409
黑铁,952
11杀,212
一样的,281
不一样,181
不行啊,95
个锤子,532
保护卷,531
克伦特,145
八连杀,36
刷深渊,1132
垫一下,90
增幅亡,95
多少钱,2225
大坑坑,1279
大坤坤,3895
大蛤蟆,3296
密码是,61
对很对,60
就可以,72
